InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSale,PreviousTotalSale,PercentageChange
536863,10123C,HEARTS WRAPPING TAPE,1,12/3/2010 11:19,0.65,17967,United Kingdom,0.65,,
548491,10123C,HEARTS WRAPPING TAPE,1,3/31/2011 13:14,0.65,14064,United Kingdom,0.65,0.65,0.0
545655,10123C,HEARTS WRAPPING TAPE,3,3/4/2011 13:58,0.65,14670,United Kingdom,1.9500000000000002,0.65,200.00000000000006
542216,16052,TEATIME PUSH DOWN RUBBER,24,1/26/2011 12:29,0.42,14911,EIRE,10.08,,
552262,16052,TEATIME PUSH DOWN RUBBER,24,5/8/2011 11:37,0.42,14911,EIRE,10.08,10.08,0.0
552290,16052,TEATIME PUSH DOWN RUBBER,24,5/8/2011 13:32,0.42,16007,United Kingdom,10.08,10.08,0.0
555558,16052,TEATIME PUSH DOWN RUBBER,24,6/5/2011 14:06,0.19,14159,United Kingdom,4.5600000000000005,10.08,-54.76190476190476
555866,16052,TEATIME PUSH DOWN RUBBER,48,6/7/2011 14:38,0.19,16841,United Kingdom,9.120000000000001,4.5600000000000005,100.0
556267,16052,TEATIME PUSH DOWN RUBBER,323,6/9/2011 19:33,0.19,13694,United Kingdom,61.37,9.120000000000001,572.9166666666666
576014,16162M,THE KING GIFT BAG 25x24x12cm,2,11/13/2011 14:29,0.42,17218,United Kingdom,0.84,,
578941,16162M,THE KING GIFT BAG 25x24x12cm,2,11/27/2011 13:26,0.42,16024,United Kingdom,0.84,0.84,0.0
560551,16162M,THE KING GIFT BAG 25x24x12cm,4,7/19/2011 12:47,0.42,18041,United Kingdom,1.68,0.84,100.0
560650,16162M,THE KING GIFT BAG 25x24x12cm,6,7/20/2011 11:38,0.42,15529,United Kingdom,2.52,1.68,50.000000000000014
566495,16162M,THE KING GIFT BAG 25x24x12cm,5,9/13/2011 11:14,0.42,15529,United Kingdom,2.1,2.52,-16.666666666666664
566735,16162M,THE KING GIFT BAG 25x24x12cm,3,9/14/2011 14:19,0.42,15707,United Kingdom,1.26,2.1,-40.0
565408,16162M,THE KING GIFT BAG 25x24x12cm,4,9/4/2011 11:12,0.42,16813,United Kingdom,1.68,1.26,33.33333333333333
550331,16202B,PASTEL BLUE PHOTO ALBUM,5,4/17/2011 13:43,0.5,15555,United Kingdom,2.5,,
550630,16202B,PASTEL BLUE PHOTO ALBUM,24,4/19/2011 14:49,0.5,14298,United Kingdom,12.0,2.5,380.0
540642,16238,PARTY TIME PENCIL ERASERS,28,1/10/2011 13:22,0.21,12681,France,5.88,,
542741,16238,PARTY TIME PENCIL ERASERS,28,1/31/2011 16:02,0.21,17375,United Kingdom,5.88,5.88,0.0
570488,16238,PARTY TIME PENCIL ERASERS,2,10/10/2011 17:12,0.42,14096,United Kingdom,0.84,5.88,-85.71428571428572
571441,16238,PARTY TIME PENCIL ERASERS,3,10/17/2011 13:31,0.42,14096,United Kingdom,1.26,0.84,50.000000000000014
571909,16238,PARTY TIME PENCIL ERASERS,1,10/19/2011 15:08,0.21,15006,United Kingdom,0.21,1.26,-83.33333333333334
