InvoiceNo,TotalSale
538799,706.25
540411,311.07
539408,183.74
536408,783.11
537837,313.72
538064,111.74999999999999
539465,2062.4399999999996
540179,481.13999999999993
536977,108.78
542382,204.77
545184,249.57
545227,2474.6200000000003
542215,825.36
543275,142.4
543996,458.53
545523,194.6
544337,401.57000000000005
544667,3336.76
543132,172.3
544916,132.17000000000002
545721,590.5000000000001
542933,1063.0
550971,184.64000000000001
551665,374.0
548554,888.2
547880,251.56
550339,338.95
554348,1695.54
555555,110.55000000000001
556795,123.13
557568,108.94
552442,334.48
555626,270.8
553496,122.2
555948,166.86
554286,386.96000000000004
558991,119.97999999999999
561195,564.03
558759,247.51999999999998
559009,689.58
560360,3949.3199999999997
562105,174.11
559986,98.45
561968,221.5
558766,306.33000000000004
563943,540.9200000000001
565413,431.73
565584,315.17
564095,155.68
570103,354.1600000000001
572296,160.04000000000002
569334,1909.3600000000001
568389,164.28
570108,467.20000000000005
576622,105.76
575475,485.59999999999997
576252,889.46
573425,160.55
575915,1405.1999999999998
576519,181.66
577403,462.44000000000005
580097,448.31
580468,106.04999999999998
580050,132.97
576984,280.96999999999997
578266,141.68
560892,877.3600000000001
575924,149.23
540824,252.54
538689,300.91999999999996
538829,326.4
541088,692.8199999999999
539280,76.55000000000001
C537132,-289.15
541995,256.40999999999997
542268,490.88
C545866,-9.25
544573,892.95
544430,5.1
544341,377.27
543740,350.82
545022,522.75
C548187,-19.45
551728,133.60000000000002
549052,365.79
549303,238.99999999999997
551347,354.34999999999997
549432,115.69999999999999
547048,197.8
C550959,-4.25
548349,519.96
554986,360.0
556915,159.34
553680,198.87
553392,608.1600000000001
555577,557.85
556241,912.66
553897,267.46
562841,392.06
558441,145.48000000000002
562277,190.34999999999997
561861,458.93999999999994
559638,251.68
559544,37.03
C561590,-25.5
563909,853.9
565725,537.9
563078,480.65
564353,1564.7000000000003
564975,138.39999999999998
564572,577.9399999999999
565312,145.02000000000004
564552,691.21
568044,522.49
563915,149.48000000000002
567043,318.57000000000005
567957,143.34
C570221,-577.16
568912,327.71999999999997
570425,300.76000000000005
574701,287.64000000000004
574734,361.96
C574922,-913.0800000000002
575727,129.6
580123,890.0
578472,1750.46
580879,137.09
581452,728.9200000000001
551282,223.32999999999998
568952,810.51
570491,310.53999999999996
537822,566.9499999999999
537567,180.7
540126,1209.1
539252,377.52
539423,148.95
541289,208.32
542506,743.9000000000001
543507,371.6
545658,296.61999999999995
C543661,-124.8
543199,195.06000000000003
C544828,-16.5
C545443,-12.600000000000001
552028,64.06
547496,261.68
547906,210.27
548255,383.07
551275,506.38
547044,225.4
551953,593.72
549017,422.23
550938,232.67999999999998
551183,169.5
551876,313.40000000000003
546755,702.8000000000001
551387,226.85000000000002
549443,104.9
556113,585.3199999999999
555508,269.88000000000005
557802,330.11000000000007
557499,185.78000000000003
553577,368.19999999999993
556009,302.54
561795,677.9
562214,301.17
562393,1019.44
558926,440.71000000000004
561898,1325.23
558992,351.69
562340,407.38
561006,469.9
560038,875.2799999999999
565444,128.9
566869,1009.27
563191,326.75
564529,153.0
568040,790.54
567683,269.15999999999997
567972,371.35999999999996
563638,1964.85
568064,342.92
568662,190.59
570088,237.85999999999999
568647,168.32000000000002
571290,739.3699999999999
571240,513.6
571427,384.08000000000004
570705,6.4799999999999995
576176,261.9
575754,120.54
573892,834.3800000000001
576065,337.11
C576072,-9.9
C574900,-20.75
579468,231.21
579125,445.80999999999995
580299,310.92999999999995
C579926,-25.4
580511,697.7
579260,257.4
C577394,-18.55
578229,273.35
581237,375.38000000000005
581126,367.88
C581330,-52.5
581475,280.24
575916,176.39999999999998
580096,545.7800000000001
579954,498.43999999999994
537233,352.99999999999994
536392,318.14000000000004
537403,30.450000000000006
537371,185.97
537209,192.68
539112,328.77
536437,842.1200000000001
C539438,-295.0
541670,2756.8399999999997
546435,356.19
543812,248.71
542058,461.64
544286,1257.8700000000001
541985,207.73
544893,596.24
542084,1081.3
546032,85.14999999999999
547578,485.89
551549,248.24999999999997
547909,179.73
550782,232.9
554791,5.8
C552701,-11.7
556768,433.0
